Site,Marca,Nome,Preço,Data
kabum,ZOTAC,RTX 4080,11533.24,2025-04-18
kabum,ZOTAC,RTX 4060,2499.0,2025-04-18
kabum,AORUS,RTX 5080,14886.69,2025-04-18
kabum,Galax,RTX 3050,1949.0,2025-04-18
kabum,ASRock,RX 7600,2474.56,2025-04-18
kabum,MSI,RTX 5070 ti,9629.9,2025-04-18
kabum,Palit,RTX 3050,3843.55,2025-04-18
kabum,ZOTAC,RTX 3060,2249.0,2025-04-18
kabum,Galax,RTX 4080 super,8654.0,2025-04-18
kabum,Galax,RTX 3050,1439.99,2025-04-18
kabum,Galax,RTX 4070,7148.9,2025-04-18
kabum,PCYES,RX 550,855.55,2025-04-18
kabum,MSI,RTX 5070 ti,9621.0,2025-04-18
kabum,ZOTAC,RTX 4060,2873.72,2025-04-18
kabum,PCYES,RX 550,854.05,2025-04-18
kabum,ASUS,RTX 2060,4691.91,2025-04-18
kabum,ASUS,RTX 4060 ti,6119.9,2025-04-18
kabum,Gigabyte,RTX 2060,4419.79,2025-04-18
kabum,Inno3D,RTX 5080,12999.99,2025-04-18
kabum,MSI,RTX 5070,5499.0,2025-04-18
kabum,AFOX,RX 560,1473.19,2025-04-18
kabum,ZOTAC,RTX 3060,2693.22,2025-04-18
kabum,Gigabyte,RX 9070,6999.99,2025-04-18
kabum,PCYES,RTX 3050,1910.4,2025-04-18
kabum,AORUS,RTX 3080,699.0,2025-04-18
kabum,ZOTAC,RTX 4060 ti,3964.87,2025-04-18
kabum,ASUS,RX 7900 xt,7475.54,2025-04-18
kabum,ZOTAC,RTX 3050,1520.0,2025-04-18
kabum,ASRock,RX 7600 xt,3719.49,2025-04-18
kabum,Gigabyte,RTX 5080,13999.99,2025-04-18
kabum,ASUS,RTX 3050,1799.9,2025-04-18
kabum,MSI,RTX 3050,2057.97,2025-04-18
kabum,Gigabyte,RTX 5070 ti,10066.46,2025-04-18
kabum,Gigabyte,RX 7600 xt,4214.0,2025-04-18
kabum,ZOTAC,RTX 5070,6994.71,2025-04-18
kabum,Gigabyte,RTX 4060,2599.99,2025-04-18
kabum,ASRock,RX 9070,6499.99,2025-04-18
kabum,MSI,RTX 5080,14999.9,2025-04-18
kabum,PCYES,RTX 3050,1657.16,2025-04-18
kabum,Inno3D,RTX 5070,6239.99,2025-04-18
kabum,AORUS,RTX 5070 ti,10892.63,2025-04-18
kabum,Gigabyte,RTX 5070 ti,8030.33,2025-04-18
kabum,ASRock,RX 6600,2257.5,2025-04-18
kabum,Inno3D,RTX 3050,1913.95,2025-04-18
kabum,PCYES,RTX 3050,2123.94,2025-04-18
kabum,PowerColor,RX 570,899.0,2025-04-18
kabum,Palit,RTX 3070,9679.99,2025-04-18
kabum,PCYES,RTX 3050,1299.99,2025-04-18
kabum,MSI,RTX 5070 ti,8999.99,2025-04-18
kabum,MSI,RTX 5080,10999.99,2025-04-18
kabum,MSI,RTX 5080,12350.0,2025-04-18
kabum,Galax,RTX 3050,1425.08,2025-04-18
kabum,Inno3D,RTX 4060,2973.94,2025-04-18
kabum,Gigabyte,RTX 3050,1677.81,2025-04-18
kabum,PCYES,RTX 3050,1880.37,2025-04-18
kabum,PCYES,RX 550,1770.0,2025-04-18
kabum,ASUS,RTX 4060,4241.32,2025-04-18
kabum,ASUS,RTX 4060,3199.9,2025-04-18
kabum,AERO,RTX 5070 ti,10287.27,2025-04-18
kabum,ASUS,RTX 5070,8547.5,2025-04-18
kabum,XFX,RX 7900,7439.99,2025-04-18
kabum,AERO,RTX 5080,11000.0,2025-04-18
kabum,Inno3D,RTX 4060,3212.4,2025-04-18
kabum,AORUS,RX 9070 xt,12599.91,2025-04-18
kabum,MSI,RTX 5070,8099.1,2025-04-18
kabum,ASUS,RTX 4060 ti,4506.9,2025-04-18
kabum,PNY,RTX 4060,2564.84,2025-04-18
kabum,MSI,RTX 5070,6299.99,2025-04-18
kabum,PCYES,RTX 3050,1599.99,2025-04-18
kabum,PCYES,RTX 3050,1699.99,2025-04-18
kabum,ZOTAC,RTX 5090,27905.0,2025-04-18
kabum,Palit,RTX 5070,8498.75,2025-04-18
kabum,PCYES,RTX 3060,2474.01,2025-04-18
kabum,PCYES,RX 570,898.45,2025-04-18
kabum,MSI,RTX 3080,599.0,2025-04-18
terabyte,ASRock,RX 6600,1699.9,2025-04-18
terabyte,ASUS,RX 7600,1899.9,2025-04-18
terabyte,ASRock,RX 6600,1659.9,2025-04-18
terabyte,Inno3D,RTX 3060,2149.9,2025-04-18
terabyte,Galax,RTX 4060,2349.9,2025-04-18
terabyte,Palit,RTX 4060,2299.9,2025-04-18
terabyte,Gigabyte,RTX 4070,4999.9,2025-04-18
terabyte,Gigabyte,RTX 4060,2499.9,2025-04-18
terabyte,XFX,RX 7600,1949.9,2025-04-18
terabyte,ASRock,RX 7600,1899.9,2025-04-18
terabyte,Galax,RTX 3050,1299.9,2025-04-18
terabyte,Palit,RTX 5070,5199.9,2025-04-18
terabyte,ASUS,RTX 3050,1399.9,2025-04-18
terabyte,ASUS,RTX 4060,2499.9,2025-04-18
terabyte,ASUS,RTX 4060,2499.9,2025-04-18
terabyte,ASUS,RTX 4060,2599.9,2025-04-18
terabyte,MSI,RTX 5060 ti,4299.9,2025-04-18
terabyte,MSI,RTX 5060 ti,4199.9,2025-04-18
terabyte,MSI,RTX 5060 ti,3999.9,2025-04-18
terabyte,Gigabyte,RTX 5060 ti,4499.9,2025-04-18
terabyte,MSI,RTX 5070 ti,8499.9,2025-04-18
terabyte,MSI,RTX 5070,5099.9,2025-04-18
terabyte,Gigabyte,RTX 5070,5299.9,2025-04-18
terabyte,Palit,RTX 5070 ti,7099.9,2025-04-18
terabyte,Palit,RTX 5070 ti,7499.9,2025-04-18
terabyte,Gigabyte,RTX 5070 ti,7299.9,2025-04-18
terabyte,MSI,RTX 5070 ti,9099.9,2025-04-18
terabyte,MSI,RTX 5080,11999.0,2025-04-18
terabyte,MSI,RTX 5080,12199.9,2025-04-18
terabyte,Gigabyte,RTX 5070 ti,7799.9,2025-04-18
terabyte,MSI,RTX 5070,6299.9,2025-04-18
terabyte,AERO,RTX 5070 ti,9499.9,2025-04-18
terabyte,AORUS,RTX 5070 ti,9999.9,2025-04-18
terabyte,Gigabyte,RTX 5070,6199.9,2025-04-18
terabyte,Gigabyte,RTX 5070 ti,8999.9,2025-04-18
terabyte,Gigabyte,RTX 5070 ti,8999.9,2025-04-18
terabyte,Gigabyte,RTX 5070 ti,8299.9,2025-04-18
terabyte,ASUS,RTX 5070,6599.9,2025-04-18
terabyte,PCYES,RTX 3050,1449.9,2025-04-18
terabyte,PCYES,RTX 3050,1689.9,2025-04-18
terabyte,PCYES,RTX 3050,1679.9,2025-04-18
terabyte,PCYES,RTX 3050,1429.9,2025-04-18
terabyte,MSI,RTX 5070 ti,7999.9,2025-04-18
terabyte,ASUS,RTX 5070 ti,9199.9,2025-04-18
terabyte,Gigabyte,RTX 5090,24199.9,2025-04-18
terabyte,Palit,RTX 5080,9999.9,2025-04-18
terabyte,Palit,RTX 5080,10399.9,2025-04-18
terabyte,Gigabyte,RTX 5080,11499.9,2025-04-18
